node	taxon	type
Geniotrigona_thoracica	bee	1
Heterotrigona_erythrogastra	bee	1
Heterotrigona_itama	bee	1
Homotrigona_apicalis	bee	1
Homotrigona_binghami	bee	1
Homotrigona_canifrons	bee	1
Homotrigona_fimbriata	bee	1
Homotrigona_haematoptera	bee	1
Homotrigona_melanoleuca	bee	1
Lepidotrigona_ventralis	bee	1
Melipona_compressipes	bee	1
Melipona_favosa	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonula_atripes	bee	1
Tetragonula_carbonaria	bee	1
Tetragonula_collina	bee	1
Tetragonula_fuscobalteata	bee	1
Tetragonula_geissleri	bee	1
Tetragonula_hockingsi	bee	1
Tetragonula_iridipennis	bee	1
Tetragonula_laeviceps	bee	1
Tetragonula_melanocephala	bee	1
Tetragonula_melina	bee	1
Tetragonula_reepeni	bee	1
Tetragonula_sapiens	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_spinipes	bee	1
Anacardiaceae	plant	2
Apocynaceae	plant	2
Araucariaceae	plant	2
Burseraceae	plant	2
Caricaceae	plant	2
Cleomaceae	plant	2
Clusiaceae	plant	2
Dipterocarpaceae	plant	2
Euphorbiaceae	plant	2
Fabaceae	plant	2
Malvaceae	plant	2
Moraceae	plant	2
Moringaceae	plant	2
Myristicaceae	plant	2
Myrtaceae	plant	2
Papaveraceae	plant	2
Sapotaceae	plant	2
